condition,year,growth_rate_pct,ed_visits,admissions,avoidable_admissions,avg_cost,avoidable_cost,effective_capacity_fte,capacity_per_100k,net_change_fte,required_capacity_fte,capacity_gap_fte,gap_ratio,gap_severity,scenario
Pneumonia,2029,0.11,221212.66492981097,1160.3609787681903,348.10829363045707,16785.0,5842997.708587222,3949.8354700438445,25.985759671341082,-100.24452995615638,1106.063324649055,-2843.7721453947897,0.28002769559329954,LOW,Reference
Mental Health,2029,3.5000000000000004,593843.1528234372,2969.215764117186,742.3039410292965,12000.0,8907647.292351559,4072.365723386076,26.791879759118917,-103.35427661392441,2969.215764117186,-1103.1499592688897,0.7291132392815529,LOW,Reference
Chronic Kidney Disease,2029,1.5661068253373989,86463.73962692998,864.6373962692998,302.6230886942549,18500.0,5598527.1408437155,2479.9795592886785,16.31565499532025,-62.94044071132157,432.3186981346499,-2047.6608611540287,0.17432349251243423,LOW,Reference
Heart Failure,2029,3.42,141972.3964747467,456.67787532710184,182.67115013084074,17200.0,3141943.7822504607,2241.5117341753175,14.746787724837615,-56.88826582468255,709.8619823737334,-1531.649751801584,0.31668894324789304,LOW,Reference
COPD,2029,2.5,169711.23193359366,859.8702417968746,386.94160880859357,15800.0,6113677.4191757785,3419.729257796917,22.498218801295508,-86.79074220308303,848.5561596679684,-2571.1730981289484,0.24813547965333121,LOW,Reference
Type 2 Diabetes,2029,1.8000000000000003,196793.79241852227,376.09480328873144,142.91602524971796,14200.0,2029407.558545995,5507.580798430352,36.23408420019968,-139.77920156964774,983.9689620926114,-4523.611836337741,0.1786571996134928,LOW,Reference
Hypertension,2029,1.5,107728.40038843745,215.4568007768749,90.49185632628746,11500.0,1040656.3477523058,6857.052003100153,45.11218423092206,-174.0279968998475,538.6420019421872,-6318.410001157966,0.07855299940829687,LOW,Reference
Stroke,2029,1.5,96955.56034959371,538.6420019421872,150.81976054381244,22000.0,3318034.7319638734,1772.0269844224467,11.65807226593715,-44.97301557755327,484.77780174796857,-1287.249182674478,0.2735724715309407,LOW,Reference
Pneumonia,2034,0.11,222432.01420613105,1166.7570199721602,350.02710599164806,16785.0,5875204.974069812,3852.072117196814,25.342579718400092,-198.00788280318693,1112.1600710306552,-2739.9120461661587,0.2887173545026939,LOW,Reference
Mental Health,2034,3.5000000000000004,705299.3803105605,3526.4969015528027,881.6242253882007,12000.0,10579490.704658408,3971.569593988533,26.128747328871928,-204.1504060114671,3526.4969015528022,-445.0726924357309,0.8879353157730374,LOW,Reference
Chronic Kidney Disease,2034,1.5661068253373989,93449.72837841927,934.4972837841927,327.07404932446747,18500.0,6050869.912502648,2418.5969729640206,15.911822190552767,-124.32302703597952,467.2486418920964,-1951.3483310719241,0.1931899556293074,LOW,Reference
Heart Failure,2034,3.42,167968.01133985555,540.297103143202,216.1188412572808,17200.0,3717244.0696252296,2186.0315238625303,14.381786341200858,-112.36847613746977,839.8400566992777,-1346.1914671632526,0.3841847876078897,LOW,Reference
COPD,2034,2.5,192012.6816294535,972.864253589231,437.78891411515394,15800.0,6917064.843019432,3335.0866946808383,21.941359833426567,-171.43330531916172,960.0634081472675,-2375.0232865335706,0.287867601666392,LOW,Reference
Type 2 Diabetes,2034,1.8000000000000003,215154.42630258016,411.1840147115976,156.2499255904071,14200.0,2218748.943383781,5371.261306387181,35.33724543675777,-276.09869361281835,1075.7721315129008,-4295.48917487428,0.20028296337652707,LOW,Reference
Hypertension,2034,1.5,116054.0825025149,232.1081650050298,97.48542930211251,11500.0,1121082.4369742938,6687.33141611528,43.99560142181105,-343.7485838847206,580.2704125125745,-6107.061003602706,0.08677159488674749,LOW,Reference
Stroke,2034,1.5,104448.67425226342,580.2704125125745,162.47571550352086,22000.0,3574465.741077459,1728.1671070563075,11.369520441159919,-88.83289294369251,522.2433712613171,-1205.9237357949905,0.30219494927830565,LOW,Reference
Pneumonia,2029,0.11,221212.66492981097,1160.3609787681903,348.10829363045707,16785.0,5842997.708587222,4152.349595269155,27.31808944256023,102.2695952691538,1106.063324649055,-3046.2862706200995,0.2663704727340907,LOW,Optimistic
Mental Health,2029,3.5000000000000004,593843.1528234372,2969.215764117186,742.3039410292965,12000.0,8907647.292351559,4281.162162712172,28.165540544159025,105.44216271217192,2969.215764117186,-1311.946398594986,0.6935536780125491,LOW,Optimistic
Chronic Kidney Disease,2029,1.5661068253373989,86463.73962692998,864.6373962692998,302.6230886942549,18500.0,5598527.1408437155,2607.13191660457,17.15218366187217,64.21191660456998,432.3186981346499,-2174.8132184699202,0.16582156636618733,LOW,Optimistic
Heart Failure,2029,3.42,141972.3964747467,456.67787532710184,182.67115013084074,17200.0,3141943.7822504607,2356.437480189681,15.502878159142638,58.03748018968099,709.8619823737334,-1646.5754978159475,0.3012437157113089,LOW,Optimistic
COPD,2029,2.5,169711.23193359366,859.8702417968746,386.94160880859357,15800.0,6113677.4191757785,3595.0640241188307,23.651737000781782,88.54402411883075,848.5561596679684,-2746.507864450862,0.2360336711599883,LOW,Optimistic
Type 2 Diabetes,2029,1.8000000000000003,196793.79241852227,376.09480328873144,142.91602524971796,14200.0,2029407.558545995,5789.962916865644,38.091861295168705,142.60291686564415,983.9689620926114,-4805.993954773033,0.1699439143602108,LOW,Optimistic
Hypertension,2029,1.5,107728.40038843745,215.4568007768749,90.49185632628746,11500.0,1040656.3477523058,7208.623580844093,47.425155137132194,177.5435808440925,538.6420019421872,-6669.981578901906,0.0747218932853635,LOW,Optimistic
Stroke,2029,1.5,96955.56034959371,538.6420019421872,150.81976054381244,22000.0,3318034.7319638734,1862.881526933802,12.255799519301329,45.88152693380198,484.77780174796857,-1378.1037251858334,0.2602300762227674,LOW,Optimistic
Pneumonia,2034,0.11,222432.01420613105,1166.7570199721602,350.02710599164806,16785.0,5875204.974069812,4257.201625975762,28.007905434051064,207.12162597576116,1112.1600710306552,-3145.041554945107,0.26124204788532773,LOW,Optimistic
